Sede,Conjunto Edificaciones,Area construida o utilizada (m²),Uso,Espacio cubierto/descubierto,Año costrucción (más antiguo),Año costrucción (más reciente)
Sede Tunja,EDIFICIO CENTRAL,14900.00,Actividades docentes, administrativas e investigación,Cubierto,1939,1978
Sede Tunja,EDIFICIO DE LABORATORIOS,5177.19,Actividades docentes, administrativas e investigación,Cubierto,1943,2004
Sede Tunja,EDIFICIO JULIUS SIEBER,2528.64,Actividades docentes, administrativas e investigación,Cubierto,1948,1948
Sede Tunja,BIENESTAR UNIVERSITARIO (CONSULTORIOS Y OFICINAS),984.98,Actividades deportivas,bienestar y otras,Cubierto,1948,1948
Sede Tunja,GIMNASIO ARCHIVO, SERV.GENERALES( ANT. RESTAURANTE),1093.00,Actividades deportivas,bienestar y otras,Cubierto,1948,1948
Sede Tunja,EDIFICIO SEDE FAC. DE DERECHO (ENFERMERIA),3758.51,Actividades docentes, administrativas e investigación,Cubierto,1943,1997
Sede Tunja,INVERNADERO U.P.T.C.,273.00,Actividades docentes, administrativas e investigación,Cubierto,1973,1973
Sede Tunja,TALLERES Y DEPOSITOS SECTOR CARPINTERIA,437.72,Actividades docentes, administrativas e investigación,Cubierto,1958,1958
Sede Tunja,GIMNASIO Y COLISEO CUBIERTO,2450.87,Actividades deportivas,bienestar y otras,Cubierto,1980,1993
Sede Tunja,CASAS BARRIO LA COLINA (40),4350.00,Actividades deportivas,bienestar y otras,Cubierto,1975,1975
Sede Tunja,CASAS BARRIO MALDONADO (10),1624.00,Actividades deportivas,bienestar y otras,Cubierto,1961,1961
Sede Tunja,LABORATORIO SOPLADO DE VIDRIO,50.50,Actividades docentes, administrativas e investigación,Cubierto,1983,1983
Sede Tunja,DEPOSITO REACTIVOS BIOLO. Y QUIMICA,103.06,Actividades docentes, administrativas e investigación,Cubierto,1988,1988
Sede Tunja,GALPONES LABO. DE METALURGIA,1077.72,Actividades docentes, administrativas e investigación,Cubierto,1980,1980
Sede Tunja,BIBLIOTECA CENTRAL,4991.85,Actividades docentes, administrativas e investigación,Cubierto,1988,1988
Sede Tunja,FACULTAD ESTUDIOS SUPERIORES A DISTANCIA - FESAD,1444.41,Actividades docentes, administrativas e investigación,Cubierto,1988,1988
Sede Tunja,LABORATORIO DE BIOPLASMA (HOJA CADUCA),624.46,Actividades docentes, administrativas e investigación,Cubierto,1993,1993
Sede Tunja,SEDE INSTITUTO DE INVESTIG. AGRARIAS - INIAG,210.13,Actividades docentes, administrativas e investigación,Cubierto,1993,1993
Sede Tunja,CASA DEPOSITO DE REACTIVOS,60.00,Actividades docentes, administrativas e investigación,Cubierto,1986,1986
Sede Tunja,INVERNADERO DE BIOPLASMA,230.00,Actividades docentes, administrativas e investigación,Cubierto,1994,1994
Sede Tunja,CAFETIN ESTUDIANTES,225.95,Actividades deportivas,bienestar y otras,Cubierto,1990,1990
Sede Tunja,EDIFICIO INGENIERIA,908.00,Actividades docentes, administrativas e investigación,Cubierto,1993,1993
Sede Tunja,SALON SOCIAL LA COLINA,166.00,Actividades docentes, administrativas e investigación,Cubierto,1978,1978
Sede Tunja,EDIFICACIÓN INCITEMA,515.64,Actividades docentes, administrativas e investigación,Cubierto,2012,2012
Sede Tunja,EDIFICIO RECURSOS EDUCATIVOS (ADMINISTRATIVO),8441.57,Actividades docentes, administrativas e investigación,Cubierto,2003,2003
Sede Tunja,CASETA BOMBA REGADIOS,4.00,Actividades docentes, administrativas e investigación,Cubierto,2015,2015
Sede Tunja,SUBESTACION TRIFASICA,4.00,Actividades docentes, administrativas e investigación,Cubierto,1958,1958
Sede Tunja,CASETAS PARA CELADURIA ( 6 ),226.60,Actividades docentes, administrativas e investigación,Cubierto,,
Sede Tunja,CASA DEPOSITO DEL VIVERO,60.00,Actividades docentes, administrativas e investigación,Cubierto,1974,1974
Sede Tunja,INSTALACIONES JARDIN BOTANICO,40.00,Actividades docentes, administrativas e investigación,Cubierto,,
Sede Tunja,EDIF. AULAS RAFAEL AZULA,3751.56,Actividades docentes, administrativas e investigación,Cubierto,1998,1998
Sede Tunja,PLANTA ELECTRICA,90.00,Actividades docentes, administrativas e investigación,Cubierto,1943,1943
Sede Tunja,INVERNADERO CONTROL BIOLOGICO,50.00,Actividades docentes, administrativas e investigación,Cubierto,,
Sede Tunja,CASA POSGRADOS Y LABORAT. AGRONOMIA,1620.61,Actividades docentes, administrativas e investigación,Cubierto,1956,1956
Sede Tunja,CASA GRANJA LAS ROSAS,72.00,Actividades docentes, administrativas e investigación,Cubierto,2003,2003
Sede Tunja,AULAS JULIO SIEBER (ANTIGUO COLEGIO),352.14,Actividades docentes, administrativas e investigación,Cubierto,1991,1991
Sede Tunja,CENTRO DE SERVICIOS ESTUDIANTILES,922.00,Actividades deportivas,bienestar y otras,Cubierto,2003,2003
Sede Tunja,EDIFICIO DE MATEMATICAS,803.00,Actividades docentes, administrativas e investigación,Cubierto,1948,1948
Sede Tunja,CASA POSGRADO EN ARCHIVISTICA, ARCHIVO HISTÓRICO Y TALLERES ESC. ARTES,232.00,Actividades docentes, administrativas e investigación,Cubierto,1948,2000
Sede Tunja,FUENTE DE COBALTO,274.00,Actividades docentes, administrativas e investigación,Cubierto,1993,1993
Sede Tunja,CAMARA DE ESTERILIZACION,31.00,Actividades docentes, administrativas e investigación,Cubierto,1983,1983
Sede Tunja,ESTACION METEREOLOGICA,330.00,Actividades docentes, administrativas e investigación,Cubierto,1968,1968
Sede Tunja,CASA ANTIGUA ADYACENTE A LA PORTERIA PRINCIPAL,114.00,Actividades docentes, administrativas e investigación,Cubierto,1948,1948
Sede Tunja,CASA DEL VIVERO OFICINAS Y BODEGAS,540.00,Actividades docentes, administrativas e investigación,Cubierto,1958,1958
Sede Tunja,LABORATORIO MULTIPROPOSITO CLINICA VET.,286.35,Actividades docentes, administrativas e investigación,Cubierto,2001,2001
Sede Tunja,CASETA DPTO. INSUMOS GRANJA AGRONOMÍA,15.00,Actividades docentes, administrativas e investigación,Cubierto,1963,1963
Sede Tunja,EDIFICACIÓN TRANSMISORES EMISORA - PIRGUA,50.00,Actividades docentes, administrativas e investigación,Cubierto,,
Sede Tunja,EDIFICACIONES SEDE FACULTAD DE CIENCIAS DE LA SALUD- ANTIGUO HOSPITAL SAN RAFAEL,8116.50,Actividades docentes, administrativas e investigación,Cubierto,,
Sede Tunja,ESCENARIOS DEPORTIVOS A CIELO ABIERTO FCS (720*0,25),180.00,Actividades deportivas,bienestar y otras,Descubierto,,
Sede Tunja,ESCENARIOS DEPORTIVOS A CIELO ABIERTO (21880*0,25),5470.00,Actividades deportivas,bienestar y otras,Descubierto,,
Sede Tunja,AREA GRANJA EXPERIMENTAL Y PRACTICA (9600*0,25),2400.00,Actividades docentes, administrativas e investigación,Descubierto,,
Sede Tunja,CLINICA VETERINARIA DE GRANDES M.V.Z. /AMPLIACIÓN C. VET.,990.00,Actividades docentes, administrativas e investigación,Sin datos,2007,2017
Sede Tunja,EDIFICACIÓN PARA MÚSICA Y ARTES,1520.75,Actividades docentes, administrativas e investigación,Sin datos,2008,2008
Sede Tunja,EDIFICIO RESTAURANTE Y CAFETERÌA ESTUDIANTIL,2925.00,Actividades deportivas,bienestar y otras,Cubierto,2012,2012
Sede Tunja,EDIFICIO CENTRO DE LABORATORIOS,15018.00,Actividades docentes, administrativas e investigación,Cubierto,2012,2012
Sede Tunja,EDIFICIO DE ARTES,3362.50,Actividades docentes, administrativas e investigación,Cubierto,2014,2014
Sede Tunja,EDIFICIO AULAS -HUNZA -TUNJA,5615.28,Actividades docentes, administrativas e investigación,Cubierto,2016,2016
Sede Tunja,EDIFICIO DE POSGRADOS TUNJA,10911.00,Actividades docentes, administrativas e investigación,Cubierto,2022,2022
Sede Tunja,CASETA CAFETIN PARA EL CENTRO DE LABORATORIOS-UPTC SEDE CENTRAL,16.00,Actividades docentes, administrativas e investigación,Cubierto,2020,2020
Sede Tunja,DEPOSITO DE RESIDUOS SOLIDOS URBANOS,64.50,Actividades docentes, administrativas e investigación,Cubierto,2020,2020
Seccional Chiquinquirá,EDIFICIO ADTIVO. AULAS Y LABORATORIOS ,2080.00,Actividades docentes, administrativas e investigación,Cubierto,1982,1982
Seccional Chiquinquirá,EDIFICIO LABORATORIOS DE GEMOLOGIA,1102.00,Actividades docentes, administrativas e investigación,Cubierto,1998,1998
Seccional Chiquinquirá,EDIFICIO CENTRO DE SERVICIOS Y AUDITORIO ,1486.00,Actividades deportivas,bienestar y otras,Cubierto,2006,2006
Seccional Chiquinquirá,CASETA DE PORTERIA,43.85,Actividades docentes, administrativas e investigación,Cubierto,,
Seccional Chiquinquirá,EDIFICIO AULAS INTELIGENTES,775.48,Actividades docentes, administrativas e investigación,Cubierto,2013,2013
Seccional Chiquinquirá,ESCENARIOS DEPORTIVOS A CIELO ABIERTO (7720*0,25),1930.00,Actividades deportivas,bienestar y otras,Descubierto,,
Seccional Duitama,PABELLON DE TALLERES,3500.00,Actividades docentes, administrativas e investigación,Cubierto,1976,1976
Seccional Duitama,EDIFICACION AULAS Y OFICINAS ADTIVAS.,2850.00,Actividades docentes, administrativas e investigación,Cubierto,1978,1978
Seccional Duitama,BIBLIOTECA SECCIONAL,2241.00,Actividades docentes, administrativas e investigación,Cubierto,1982,1982
Seccional Duitama,CAFETERIA ESTUDIANTES,674.00,Actividades deportivas,bienestar y otras,Cubierto,1990,1990
Seccional Duitama,CASETA SEDE APUB,9.00,Actividades docentes, administrativas e investigación,Cubierto,,
Seccional Duitama,SUBESTACION ELECTRICA,6.00,Actividades docentes, administrativas e investigación,Cubierto,,
Seccional Duitama,CASETA PORTERIA ACCESO VEHICULAR,58.70,Actividades docentes, administrativas e investigación,Cubierto,,
Seccional Duitama,CENTRO INVESTIG. AGROINDUSTRIAL BIOTECNOLOGIA SECCIONAL,270.00,Actividades docentes, administrativas e investigación,Cubierto,1994,1994
Seccional Duitama,CUARTO DE BASURAS SECCIONAL,6.00,Actividades docentes, administrativas e investigación,Cubierto,,
Seccional Duitama,GIMNASIO Y TEATRO LOS FUNDADORES SECC. DUITAMA,525.00,Actividades deportivas,bienestar y otras,Cubierto,1965,1965
Seccional Duitama,EDIFICIO ADMINISTRATIVO DE LA SECCIONAL (NUEVO),2400.00,Actividades docentes, administrativas e investigación,Cubierto,2002,2002
Seccional Duitama,EDIFICIO BIENESTAR ESTUDIANTIL,263.00,Actividades deportivas,bienestar y otras,Cubierto,1998,1998
Seccional Duitama,BLOQUE DE AULAS (EN TRES PISOS),1893.00,Actividades docentes, administrativas e investigación,Cubierto,1980,1980
Seccional Duitama,CAFETERIA DE PROFESORES Y CUBICULOS,705.00,Actividades deportivas,bienestar y otras,Cubierto,1965,1965
Seccional Duitama,LABORATORIO DE LÁCTEOS,313.12,Actividades docentes, administrativas e investigación,Cubierto,2012,2012
Seccional Duitama,COLISEO VOLEIBOL,415.25,Actividades deportivas,bienestar y otras,Cubierto,,
Seccional Duitama,EDIFICIO AULAS -DUITAMA,5498.00,Actividades docentes, administrativas e investigación,Cubierto,2016,2016
Seccional Duitama,NUEVO EDIFICIO BIENESTAR UNIVERSITARIO DUITAMA,599.63,Actividades docentes, administrativas e investigación,Sin datos,2023,2023
Seccional Duitama,EDIFICIO DE POSGRADOS - CRU,8009.47,Actividades docentes, administrativas e investigación,Sin datos,2023,2023
Seccional Duitama,ESCENARIOS DEPORTIVOS A CIELO ABIERTO (8944*0,25),2236.00,Actividades deportivas,bienestar y otras,Descubierto,,
Museo y Parque Arqueológico Sogamoso,CASA DEL MUSEO,1155.20,Actividades deportivas,bienestar y otras,Cubierto,,
Museo y Parque Arqueológico Sogamoso,TEMPLO DEL SOL,300.00,Actividades deportivas,bienestar y otras,Cubierto,,
Museo y Parque Arqueológico Sogamoso,KIOSCOS DEL MUSEO (10),250.00,Actividades deportivas,bienestar y otras,Cubierto,,
Museo y Parque Arqueológico Sogamoso,CASA DEPOSITO Y BODEGA,150.00,Actividades docentes, administrativas e investigación,Cubierto,,
Museo y Parque Arqueológico Sogamoso,AREA DE LABORATORIOS,100.00,Actividades docentes, administrativas e investigación,Cubierto,,
Seccional Sogamoso,EDIFICIO AULAS 1,1377.00,Actividades docentes, administrativas e investigación,Cubierto,1974,1974
Seccional Sogamoso,EDIFICIO AULAS 2,1377.00,Actividades docentes, administrativas e investigación,Cubierto,1974,1974
Seccional Sogamoso,EDIFICIO AULAS 3,230.00,Actividades docentes, administrativas e investigación,Cubierto,1998,1998
Seccional Sogamoso,EDIFICIO DIRECCIONES DE ESCUELA Y REGISTRO,1804.00,Actividades docentes, administrativas e investigación,Cubierto,1980,1980
Seccional Sogamoso,MODULO DE LABORATORIOS (UN PISO),2353.00,Actividades docentes, administrativas e investigación,Cubierto,1985,1985
Seccional Sogamoso,TALLER DE MANTENIMIENTO,42.00,Actividades docentes, administrativas e investigación,Cubierto,,
Seccional Sogamoso,EDIFICIO PARA BIBLIOTECA Y ADMINISTRATIVO,3087.80,Actividades docentes, administrativas e investigación,Cubierto,1992,1992
Seccional Sogamoso,NUEVO GIMNASIO, CULTURA Y ALM. DEPORTES,330.00,Actividades deportivas,bienestar y otras,Cubierto,,
Seccional Sogamoso,PORTERIA ACCESO PEATONAL COSTADO SUR,45.15,Actividades docentes, administrativas e investigación,Cubierto,,
Seccional Sogamoso,PORTERIA ACCESO VEHICULAR,45.85,Actividades docentes, administrativas e investigación,Cubierto,,
Seccional Sogamoso,EDIFICIO AULAS ARTES,1452.00,Actividades docentes, administrativas e investigación,Cubierto,2004,2004
Seccional Sogamoso,KIOSCOS (18),72.00,Actividades deportivas,bienestar y otras,Cubierto,,
Seccional Sogamoso,CAFETERIA SECC. SOGAMOSO,740.00,Actividades deportivas,bienestar y otras,Cubierto,1996,1996
Seccional Sogamoso,ESCENARIOS DEPORTIVOS A CIELO ABIERTO (7540X0,25),1885.00,Actividades deportivas,bienestar y otras,Descubierto,,
Seccional Sogamoso,EDIFICACIÓN REGISTRO Y ADMISIONES,260.60,Sin datos,Sin datos,2009,2009
Seccional Sogamoso,EDIFICACIÓN RESTAURANTE,1047.30,Sin datos,Sin datos,2009,2009
Seccional Sogamoso,NUEVO EDIFICIO DE LABORATORIOS(4PISOS),1468.30,Actividades docentes, administrativas e investigación,Cubierto,2012,2012
Seccional Sogamoso,EDIFICIO AULAS SOGAMOSO,4711.00,Actividades docentes, administrativas e investigación,Cubierto,2015,2015
Seccional Sogamoso,BODEGA PARA ALMACENAMIENTO DE MUESTRAS GEOLÓGICAS,81.85,Sin datos,Cubierto,2022,2022
Seccional Sogamoso,SALA DE INVESTIGACIÓN PARA EL LABORATORIO DE SOLUCIONES ENERGÉTICAS,140.00,Sin datos,Cubierto,2022,2022
Granja Tunguavita,CASA  VIVIENDA PARA ESTUDIANTES Y ADMINISTRATIVOS(NUEVO),361.97,Actividades docentes, administrativas e investigación,Cubierto,2023,2023
Granja Tunguavita,AULA MULTIPLE,120.00,Actividades docentes, administrativas e investigación,Cubierto,1980,1980
Granja Tunguavita,CASA DEPOSITOS,120.00,Actividades docentes, administrativas e investigación,Cubierto,1980,1980
Granja Tunguavita,GALPON PARA MAQUINARIA (PRIMER PISO) Y 3 CUARTOS PARA PASANTES (SEGUNDO PISO),195.00,Actividades docentes, administrativas e investigación,Cubierto,1980,1980
Granja Tunguavita,AULAS DE CLASE (3) Y SALA DE CIRUGIA (1),201.00,Actividades docentes, administrativas e investigación,Cubierto,1980,1980
Granja Tunguavita,BODEGAS MAQUINARIA Y SEMILLAS,274.00,Actividades docentes, administrativas e investigación,Cubierto,1980,1980
Granja Tunguavita,ESTACION CLIMATOLOGICA,150.00,Actividades docentes, administrativas e investigación,Cubierto,,
Granja Tunguavita,CASA DEL MAYORDOMO,70.00,Actividades docentes, administrativas e investigación,Cubierto,,
Granja Tunguavita,INSTALACION PERRERAS,15.00,Actividades docentes, administrativas e investigación,Cubierto,1994,1994
Granja Tunguavita,AREA GRANJA EXPERIMENTAL Y PRACTICA (19200*0,25),4800.00,Actividades docentes, administrativas e investigación,Descubierto,,
Granja Tunguavita,APRISCO OVINO CAPRINOY PLANTA DE LABORATORIO (201.00+42.80),243.80,Sin datos,Cubierto,2008,2008
Granja Tunguavita,GALPÓN AVÍCOLA PARA PONEDORA Y GALPÓN PARA POLLO DE ENGORDE (82.00+82.00),164.00,Sin datos,Cubierto,2008,2008
Granja Tunguavita,CENTRO DE MEJORAMIENTOGENÉTICO -LABORATORIO DE REPRODUCCIÓN ANIMAL-ESTABLO (130.00+204,00),334.00,Actividades docentes, administrativas e investigación,Descubierto,2008,2008
Granja Tunguavita,EDIFICIO ADMINISTRATIVO,451.00,Actividades deportivas,bienestar y otras,Cubierto,2012,2012
Granja Tunguavita,EDIFICACIÓN PROYECTO DE PORCINOS,252.00,Actividades docentes, administrativas e investigación,Cubierto,2014,2014
Granja Tunguavita,BODEGA PARA ALMACENAMIENTO DE COMBUSTIBLES EN LA GRANJA TUNGUAVITA- PAIPA,18.75,Sin datos,Cubierto,1980,1980
Instalaciones El Infiernito,CASA ADMON. Y OFICINAS (NUEVO),220.07,Actividades docentes, administrativas e investigación,Cubierto,2022,2022
Instalaciones El Infiernito,TUMBA DOLMENICA,10.00,Actividades deportivas,bienestar y otras,Cubierto,,
Sede Regional Garagoa,BLOQUE DE AULAS,418.00,Sin datos,Cubierto,2002,2002
Sede Regional Garagoa,BLOQUE ADMINISTRATIVO,303.00,Sin datos,Cubierto,2002,2002
Casa de Bogotá - UPTC,CASA DE BOGOTÁ - UPTC,860.00,Sin datos,Sin datos,2023,2023
Edificación Puerto Boyacá,EDIFICACIÓN PUERTO BOYACÁ,2633.11,Actividades deportivas,bienestar y otras,Sin datos,2023,2023
Edificación IE Soatá,EDIFICACIÓN IE SOATÁ,2273.80,Sin datos,Sin datos,,